iso_code;continent;location;date;total_cases;new_cases;new_cases_smoothed;total_deaths;new_deaths;new_deaths_smoothed;total_cases_per_million;new_cases_per_million;new_cases_smoothed_per_million;total_deaths_per_million;new_deaths_per_million;new_deaths_smoothed_per_million;reproduction_rate;icu_patients;icu_patients_per_million;hosp_patients;hosp_patients_per_million;weekly_icu_admissions;weekly_icu_admissions_per_million;weekly_hosp_admissions;weekly_hosp_admissions_per_million;new_tests;total_tests;total_tests_per_thousand;new_tests_per_thousand;new_tests_smoothed;new_tests_smoothed_per_thousand;positive_rate;tests_per_case;tests_units;total_vaccinations;new_vaccinations;new_vaccinations_smoothed;total_vaccinations_per_hundred;new_vaccinations_smoothed_per_million;stringency_index;population;population_density;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy;human_development_index
ITA;Europe;Italy;31/01/2020;20;20;;;;;33;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;1944;604618280;205859;479;23021;1624;35220084;20;113151;478;198;278;;318;8351;88
ITA;Europe;Italy;01/02/2020;20;0;;;;;33;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1944;604618280;205859;479;23021;1624;35220084;20;113151;478;198;278;;318;8351;88
ITA;Europe;Italy;02/02/2020;20;0;;;;;33;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1944;604618280;205859;479;23021;1624;35220084;20;113151;478;198;278;;318;8351;88
ITA;Europe;Italy;03/02/2020;20;0;;;;;33;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1944;604618280;205859;479;23021;1624;35220084;20;113151;478;198;278;;318;8351;88
ITA;Europe;Italy;04/02/2020;20;0;;;;;33;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1944;604618280;205859;479;23021;1624;35220084;20;113151;478;198;278;;318;8351;88
ITA;Europe;Italy;05/02/2020;20;0;286;;;0;33;0;5;;;0;;;;;;;;;;;;;;;;;;;;;;;;1944;604618280;205859;479;23021;1624;35220084;20;113151;478;198;278;;318;8351;88
ITA;Europe;Italy;06/02/2020;20;0;286;;;0;33;0;5;;;0;;;;;;;;;;;;;;;;;;;;;;;;1944;604618280;205859;479;23021;1624;35220084;20;113151;478;198;278;;318;8351;88
ITA;Europe;Italy;07/02/2020;30;10;143;;;0;5;17;2;;;0;;;;;;;;;;;;;;;;;;;;;;;;1944;604618280;205859;479;23021;1624;35220084;20;113151;478;198;278;;318;8351;88
ITA;Europe;Italy;08/02/2020;30;0;143;;;0;5;0;2;;;0;;;;;;;;;;;;;;;;;;;;;;;;1944;604618280;205859;479;23021;1624;35220084;20;113151;478;198;278;;318;8351;88
ITA;Europe;Italy;09/02/2020;30;0;143;;;0;5;0;2;;;0;;;;;;;;;;;;;;;;;;;;;;;;1944;604618280;205859;479;23021;1624;35220084;20;113151;478;198;278;;318;8351;88
ITA;Europe;Italy;10/02/2020;30;0;143;;;0;5;0;2;;;0;;;;;;;;;;;;;;;;;;;;;;;;1944;604618280;205859;479;23021;1624;35220084;20;113151;478;198;278;;318;8351;88
ITA;Europe;Italy;11/02/2020;30;0;143;;;0;5;0;2;;;0;;;;;;;;;;;;;;;;;;;;;;;;1944;604618280;205859;479;23021;1624;35220084;20;113151;478;198;278;;318;8351;88
ITA;Europe;Italy;12/02/2020;30;0;143;;;0;5;0;2;;;0;;;;;;;;;;;;;;;;;;;;;;;;1944;604618280;205859;479;23021;1624;35220084;20;113151;478;198;278;;318;8351;88
